run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	read_count	base_count	fastq_bytes	fastq_md5	fastq_ftp	sra_ftp	bam_ftp
SRR28210346	SAMN40244556	SRX23822655	PRJNA1083304	408170	human gut metagenome	33322868	9996860400	1935555709;1936970775	6cb059296ee3f24e35ea3197bc9e2e73;d2b89a626f1c61a10d31b9aca895225d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/046/SRR28210346/SRR28210346_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/046/SRR28210346/SRR28210346_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR282/046/SRR28210346/SRR28210346.lite	
SRR28210347	SAMN40244555	SRX23822654	PRJNA1083304	408170	human gut metagenome	71561415	21468424500	4170035773;4171221012	654bc4c767e20b92131b07635b92c508;a46b0a4c3c641f51000669ad23f4e1ae	ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/047/SRR28210347/SRR28210347_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/047/SRR28210347/SRR28210347_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR282/047/SRR28210347/SRR28210347.lite	
SRR28210351	SAMN40244587	SRX23822650	PRJNA1083304	408170	human gut metagenome	38085309	11425592700	2198721543;2199972604	446652d7b6dce9a6cc108e61dd943ae8;a88a19a7fb75f35693f3a27c2b5153ec	ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/051/SRR28210351/SRR28210351_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/051/SRR28210351/SRR28210351_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR282/051/SRR28210351/SRR28210351.lite	
SRR28210353	SAMN40244585	SRX23822648	PRJNA1083304	408170	human gut metagenome	35115848	10534754400	2038774263;2041079070	dba16a20de908806d88ee4a6079b970f;b72d81506b8e51d7ca5d5eb8adcc03ae	ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/053/SRR28210353/SRR28210353_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/053/SRR28210353/SRR28210353_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR282/053/SRR28210353/SRR28210353.lite	
SRR28210355	SAMN40244583	SRX23822646	PRJNA1083304	408170	human gut metagenome	34819374	10445812200	2019761590;2021366293	7475b7d8df9f0d3e78d10a7b4a544cfb;ec697d3c4ed4f23db4df148584edef54	ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/055/SRR28210355/SRR28210355_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/055/SRR28210355/SRR28210355_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR282/055/SRR28210355/SRR28210355.lite	
SRR28210358	SAMN40244554	SRX23822643	PRJNA1083304	408170	human gut metagenome	58530059	17559017700	3409255619;3410749881	8ffb7d9b22246356b598b0969c0b5f5d;a7fea320b094442f5b6200670e5016c5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/058/SRR28210358/SRR28210358_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/058/SRR28210358/SRR28210358_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR282/058/SRR28210358/SRR28210358.lite	
SRR28210362	SAMN40244577	SRX23822639	PRJNA1083304	408170	human gut metagenome	38461163	11538348900	2219182747;2220790124	f261c18ba04df10bd48899d8ec03163d;36189e324379901b97de8828c3bac5c8	ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/062/SRR28210362/SRR28210362_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/062/SRR28210362/SRR28210362_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR282/062/SRR28210362/SRR28210362.lite	
SRR28210366	SAMN40244573	SRX23822635	PRJNA1083304	408170	human gut metagenome	37942980	11382894000	2194780828;2196508176	92b7db3600b7a60cc976cca5f423d4a1;aaa34c7eb071412e62e55904b0961061	ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/066/SRR28210366/SRR28210366_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/066/SRR28210366/SRR28210366_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR282/066/SRR28210366/SRR28210366.lite	
SRR28210368	SAMN40244571	SRX23822633	PRJNA1083304	408170	human gut metagenome	35875585	10762675500	2076596252;2078189875	970b0dbd9ca80a426d23296756515e72;60215a66b63623a7cb2f49d7cadc3bdf	ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/068/SRR28210368/SRR28210368_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/068/SRR28210368/SRR28210368_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR282/068/SRR28210368/SRR28210368.lite	
SRR28210369	SAMN40244553	SRX23822632	PRJNA1083304	408170	human gut metagenome	66583008	19974902400	3880439741;3881348253	1276d742df180d7638957595f28edc9e;750ae9338c16b4d46c7db6a6e8ce2ff4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/069/SRR28210369/SRR28210369_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/069/SRR28210369/SRR28210369_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR282/069/SRR28210369/SRR28210369.lite	
