Sample	raw 1	raw 2	trimmed 1	trimmed 2	final 1	final 2
clean_SRR28210342_kneaddata	62285613.0	62285613.0	62280181.0	62280181.0	62278539.0	62278539.0
clean_SRR28210343_kneaddata	71589118.0	71589118.0	71582387.0	71582387.0	71568500.0	71568500.0
clean_SRR28210344_kneaddata	66634961.0	66634961.0	66628892.0	66628892.0	66625467.0	66625467.0
clean_SRR28210345_kneaddata	63750374.0	63750374.0	63745071.0	63745071.0	63740853.0	63740853.0
clean_SRR28210346_kneaddata	33319943.0	33319943.0	33318715.0	33318715.0	33317208.0	33317208.0
clean_SRR28210347_kneaddata	71555737.0	71555737.0	71549133.0	71549133.0	71534515.0	71534515.0
clean_SRR28210348_kneaddata	37264740.0	37264740.0	37262708.0	37262708.0	37261569.0	37261569.0
clean_SRR28210349_kneaddata	34037161.0	34037161.0	34034087.0	34034087.0	34023357.0	34023357.0
clean_SRR28210350_kneaddata	35197481.0	35197481.0	35195815.0	35195815.0	35191670.0	35191670.0
clean_SRR28210351_kneaddata	38082331.0	38082331.0	38080386.0	38080386.0	38071472.0	38071472.0
clean_SRR28210352_kneaddata	35317806.0	35317806.0	35316466.0	35316466.0	35315343.0	35315343.0
clean_SRR28210353_kneaddata	35112709.0	35112709.0	35111073.0	35111073.0	35108635.0	35108635.0
clean_SRR28210354_kneaddata	41230734.0	41230734.0	41227500.0	41227500.0	41223471.0	41223471.0
clean_SRR28210355_kneaddata	34816209.0	34816209.0	34814924.0	34814924.0	34812339.0	34812339.0
clean_SRR28210356_kneaddata	37309191.0	37309191.0	37307422.0	37307422.0	37300305.0	37300305.0
clean_SRR28210357_kneaddata	37053022.0	37053022.0	37051857.0	37051857.0	37040290.0	37040290.0
clean_SRR28210358_kneaddata	58525004.0	58525004.0	58520075.0	58520075.0	58517649.0	58517649.0
clean_SRR28210359_kneaddata	35390693.0	35390693.0	35389146.0	35389146.0	35387977.0	35387977.0
clean_SRR28210360_kneaddata	34232033.0	34232033.0	34229918.0	34229918.0	34227209.0	34227209.0
clean_SRR28210361_kneaddata	36928977.0	36928977.0	36927554.0	36927554.0	36926471.0	36926471.0
clean_SRR28210362_kneaddata	38458243.0	38458243.0	38456585.0	38456585.0	38454704.0	38454704.0
clean_SRR28210363_kneaddata	36480249.0	36480249.0	36477070.0	36477070.0	36474586.0	36474586.0
clean_SRR28210364_kneaddata	37028983.0	37028983.0	37027252.0	37027252.0	37025957.0	37025957.0
clean_SRR28210365_kneaddata	37810905.0	37810905.0	37808900.0	37808900.0	37806669.0	37806669.0
clean_SRR28210366_kneaddata	37940121.0	37940121.0	37937814.0	37937814.0	37905417.0	37905417.0
clean_SRR28210367_kneaddata	36366505.0	36366505.0	36364987.0	36364987.0	36363922.0	36363922.0
clean_SRR28210368_kneaddata	35872695.0	35872695.0	35871156.0	35871156.0	35869063.0	35869063.0
clean_SRR28210369_kneaddata	66577659.0	66577659.0	66571763.0	66571763.0	66564988.0	66564988.0
clean_SRR28210370_kneaddata	36047491.0	36047491.0	36046086.0	36046086.0	36044116.0	36044116.0
clean_SRR28210371_kneaddata	37467925.0	37467925.0	37466612.0	37466612.0	37465189.0	37465189.0
clean_SRR28210372_kneaddata	40220111.0	40220111.0	40218095.0	40218095.0	40216523.0	40216523.0
clean_SRR28210373_kneaddata	36476701.0	36476701.0	36474809.0	36474809.0	36472834.0	36472834.0
clean_SRR28210374_kneaddata	37423594.0	37423594.0	37421549.0	37421549.0	37418412.0	37418412.0
clean_SRR28210375_kneaddata	35006612.0	35006612.0	35005031.0	35005031.0	35002673.0	35002673.0
clean_SRR28210376_kneaddata	38990930.0	38990930.0	38988856.0	38988856.0	38987421.0	38987421.0
clean_SRR28210377_kneaddata	36872136.0	36872136.0	36869944.0	36869944.0	36868437.0	36868437.0
clean_SRR28210378_kneaddata	62855911.0	62855911.0	62850211.0	62850211.0	62846833.0	62846833.0
clean_SRR28210379_kneaddata	68024532.0	68024532.0	68018448.0	68018448.0	68011883.0	68011883.0
clean_SRR28210380_kneaddata	70734665.0	70734665.0	70728786.0	70728786.0	70727298.0	70727298.0
clean_SRR28210381_kneaddata	68854404.0	68854404.0	68847370.0	68847370.0	68844103.0	68844103.0
