#mpa_vJun23_CHOCOPhlAnSGB_202307
clade_name	clean_SRR28210342_metaphlan	clean_SRR28210343_metaphlan	clean_SRR28210344_metaphlan	clean_SRR28210345_metaphlan	clean_SRR28210346_metaphlan	clean_SRR28210347_metaphlan	clean_SRR28210348_metaphlan	clean_SRR28210349_metaphlan	clean_SRR28210350_metaphlan	clean_SRR28210351_metaphlan	clean_SRR28210352_metaphlan	clean_SRR28210353_metaphlan	clean_SRR28210354_metaphlan	clean_SRR28210355_metaphlan	clean_SRR28210356_metaphlan	clean_SRR28210357_metaphlan	clean_SRR28210358_metaphlan	clean_SRR28210359_metaphlan	clean_SRR28210360_metaphlan	clean_SRR28210361_metaphlan	clean_SRR28210362_metaphlan	clean_SRR28210363_metaphlan	clean_SRR28210364_metaphlan	clean_SRR28210365_metaphlan	clean_SRR28210366_metaphlan	clean_SRR28210367_metaphlan	clean_SRR28210368_metaphlan	clean_SRR28210369_metaphlan	clean_SRR28210370_metaphlan	clean_SRR28210371_metaphlan	clean_SRR28210372_metaphlan	clean_SRR28210373_metaphlan	clean_SRR28210374_metaphlan	clean_SRR28210375_metaphlan	clean_SRR28210376_metaphlan	clean_SRR28210377_metaphlan	clean_SRR28210378_metaphlan	clean_SRR28210379_metaphlan	clean_SRR28210380_metaphlan	clean_SRR28210381_metaphlan
k__Bacteria	100.0	98.72392	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.99947
k__Bacteria|p__Firmicutes	77.92589	57.72393	82.07371	66.35154	59.39331	63.76382	84.76948	47.27101	63.45899	92.35662	49.66464	55.5839	17.33011	52.93125	64.08659	82.10793	69.33069	75.01182	60.58847	46.27172	61.10738	88.56347	73.44393	64.12036	61.87513	49.013	67.31017	53.31106	78.27794	83.67747	70.14138	80.16433	57.44554	62.59838	71.22341	74.16183	67.41473	58.89936	45.13559	71.31005
k__Bacteria|p__Bacteroidota	10.32344	31.31918	5.3283	7.81099	24.3405	27.5513	1.79229	4.96788	20.38009	3.30724	32.35998	18.99217	16.79219	0.37435	6.69498	1.21414	21.16986	8.89525	8.73412	39.02675	0.49124	1.10545	8.61921	13.87813	21.15985	40.83635	25.28358	25.25153	4.8652	15.85125	0.88874	12.70951	21.00724	20.45905	2.29773	15.44422	4.44271	30.03118	39.07207	2.45843
k__Bacteria|p__Actinobacteria	7.23807	5.71183	10.56861	17.64155	9.6985	3.92222	6.77431	38.71494	14.63393	3.08569	11.02682	23.18043	38.58112	45.53293	15.29479	15.52453	6.03952	10.58808	15.65931	4.00385	37.5631	4.67315	9.18211	7.20926	15.45868	8.56183	2.49523	17.33392	13.9635	0.33204	25.82289	4.55564	9.06724	11.4643	20.3687	6.69584	25.43247	6.12541	8.39816	24.73272
k__Bacteria|p__Verrucomicrobia	3.02231	0.0448	0.04949	0.0	0.0	0.0	3.96786	6.66664	0.0	0.00227	0.0	0.58897	0.0	0.0	0.0	0.02053	0.3643	0.15179	0.0	9.44209	0.00047	0.0	6.13396	0.0	0.0	0.78664	0.0	0.0	0.0	0.0	0.16518	0.0412	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria	0.95662	1.24181	0.60362	3.74845	5.48577	3.45578	0.55592	1.2805	0.263	0.71855	1.76705	0.67803	27.18644	0.22571	0.33517	0.3658	0.72884	0.58403	0.62141	0.74949	0.35422	5.6079	0.43195	1.45505	1.32219	0.77664	0.78543	2.25094	2.61011	0.09476	0.33994	0.67722	1.71587	1.83167	0.997	1.18542	2.68379	2.6464	1.65252	1.38372
k__Bacteria|p__Bacillota	0.51806	2.61683	1.1979	4.41813	1.02876	1.28655	2.13316	1.05771	1.19111	0.10034	5.16379	0.90996	0.00292	0.88787	13.5036	0.75694	2.35655	4.73778	14.3878	0.0992	0.17446	0.03728	2.15264	13.30135	0.01229	0.00937	4.08691	1.77701	0.00209	0.03397	2.62891	1.7878	10.68835	3.6231	5.06974	2.44192	0.00067	2.20747	5.73129	0.00552
k__Bacteria|p__Candidatus_Saccharibacteria	0.00724	0.00898	0.04431	0.02383	0.02072	0.01129	0.00699	0.00212	0.01506	0.01371	0.0	0.03735	0.00757	0.04789	0.07943	0.00531	0.0001	0.00349	0.0089	0.0	0.30913	0.01275	0.00823	0.0056	0.12914	0.00171	0.01344	0.00165	0.04749	0.00438	0.0	0.02612	0.01977	0.01031	0.03968	0.0	0.0027	0.00242	0.00439	0.10904
k__Bacteria|p__Bacteria_unclassified	0.0042	0.05278	0.04469	0.00307	0.03244	0.00903	0.0	0.03888	0.05782	0.41558	0.01591	0.00241	0.09966	0.0	0.00395	0.00454	0.01015	0.02777	0.0	0.04054	0.0	0.0	0.01867	0.03026	0.00587	0.00888	0.02525	0.07388	0.0	0.00613	0.01295	0.01137	0.04671	0.01318	0.00192	0.07078	0.02293	0.08684	0.00459	0.0
k__Bacteria|p__Synergistetes	0.00416	0.00378	0.08938	0.00243	0.0	0.0	0.0	0.0	0.0	0.0	0.00181	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36635	0.0	0.0	0.0093	0.0	0.0	0.00558	0.0	0.0	0.0	0.0	0.0	0.02681	0.0092	0.0	0.0	0.0	0.0	0.00093	0.0014	0.0
