clade_name	clean_SRR28210342_metaphlan	clean_SRR28210343_metaphlan	clean_SRR28210344_metaphlan	clean_SRR28210345_metaphlan	clean_SRR28210346_metaphlan	clean_SRR28210347_metaphlan	clean_SRR28210348_metaphlan	clean_SRR28210349_metaphlan	clean_SRR28210350_metaphlan	clean_SRR28210351_metaphlan	clean_SRR28210352_metaphlan	clean_SRR28210353_metaphlan	clean_SRR28210354_metaphlan	clean_SRR28210355_metaphlan	clean_SRR28210356_metaphlan	clean_SRR28210357_metaphlan	clean_SRR28210358_metaphlan	clean_SRR28210359_metaphlan	clean_SRR28210360_metaphlan	clean_SRR28210361_metaphlan	clean_SRR28210362_metaphlan	clean_SRR28210363_metaphlan	clean_SRR28210364_metaphlan	clean_SRR28210365_metaphlan	clean_SRR28210366_metaphlan	clean_SRR28210367_metaphlan	clean_SRR28210368_metaphlan	clean_SRR28210369_metaphlan	clean_SRR28210370_metaphlan	clean_SRR28210371_metaphlan	clean_SRR28210372_metaphlan	clean_SRR28210373_metaphlan	clean_SRR28210374_metaphlan	clean_SRR28210375_metaphlan	clean_SRR28210376_metaphlan	clean_SRR28210377_metaphlan	clean_SRR28210378_metaphlan	clean_SRR28210379_metaphlan	clean_SRR28210380_metaphlan	clean_SRR28210381_metaphlan
Ruminococcus_bromii	7.19638	2.12714	0.04845	4.37165	0.00416	9.33019	18.36869	0.00301	7.48278	0.00591	2.42236	0.0	0.00448	0.0	1.09136	0.0	9.37812	6.37235	7.01467	0.0106	0.0	1.16375	18.4202	11.95479	0.00127	6.55255	0.00074	0.001	5.22916	1.79721	3.39436	3.95267	6.39146	5.91693	11.37241	0.0	0.00034	6.4312	5.43173	6.61759
Eubacterium_rectale	5.88041	6.18423	9.13245	4.17634	1.50348	0.69439	20.21685	0.1144	0.01622	10.41847	7.73744	0.01592	0.01001	0.00456	11.23106	8.36065	4.63122	21.97743	10.73417	1.44441	20.105	52.22326	3.80231	5.44362	4.00924	8.87485	10.28814	2.69245	0.00864	6.28117	2.32488	3.43721	0.0631	11.18381	0.63267	8.76503	0.00307	14.26796	0.0	0.2462
GGB3256_SGB4303	5.53309	2.50671	0.0	0.0	0.0	0.0	0.0	0.0	5.87272	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.60116	0.0	1.25111	0.0	0.0	0.0	4.83428	3.5899	0.0	0.0	0.0	0.0	0.0	3.34102	0.5681	0.0	0.05834	0.0	0.07538	0.0	0.0	0.0	0.0	0.0169
Dialister_hominis	4.843	0.0	0.0	0.04827	0.0	0.0	0.0	0.20302	0.0	0.00306	4.13508	2.92164	0.0	0.0	1.66007	0.00258	0.0	0.0	0.68273	2.46721	0.72597	0.0	12.77536	0.02077	0.12287	0.54612	0.0	1.42068	0.07219	0.0	0.0	0.0	1.13425	0.0	0.61739	0.0	0.26984	3.56256	0.0	0.0
Faecalibacterium_prausnitzii	4.1654	4.12409	34.23403	6.61447	19.42059	7.24573	2.289	6.56115	9.53109	14.66322	5.99828	0.43239	0.50213	0.05228	3.37764	5.65124	11.14875	7.47732	11.05007	5.76355	5.11493	0.1781	1.38661	9.56869	0.85939	4.16482	16.20171	11.51995	0.19642	9.64819	7.95075	8.23259	8.09781	13.5581	18.61892	23.52873	9.8786	5.61073	5.33371	1.71334
Gemmiger_formicilis	3.63486	4.15853	5.04752	5.52279	0.76718	7.22204	3.58689	2.47376	0.25854	3.81232	0.16921	0.02497	0.0	3.09074	1.52016	4.82138	2.96508	3.10165	4.5932	4.3764	0.07999	1.13563	0.00066	4.17697	2.55345	2.1861	1.51295	8.67209	0.00324	13.58781	9.79524	7.15707	1.13029	4.55812	0.0011	1.78887	6.69409	1.4507	5.62217	3.14815
Alistipes_putredinis	3.50119	6.40656	1.47058	2.58444	4.1362	3.9891	0.00194	0.0	1.11276	0.17909	1.62164	0.0	0.0	0.01658	0.0	0.02211	1.25576	3.79772	0.8157	13.5643	0.0	0.0	0.0	2.22968	1.53375	3.36711	2.96148	2.46643	0.00162	1.46981	0.16743	1.26093	1.2414	0.82437	0.0	1.20981	0.05342	6.20091	8.51435	0.00709
GGB4559_SGB6293	3.35329	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Collinsella_aerofaciens	3.16129	1.20893	0.00162	1.6125	0.01993	0.72431	0.0009	2.79792	0.01476	0.0	1.13749	3.68608	2.78533	0.0	0.0	0.00378	0.99586	1.75715	2.01183	0.3146	0.0	1.8453	0.0	1.53573	0.0	2.29151	0.0	1.68398	2.12614	0.0	0.43503	2.58958	0.0	2.41777	0.0	0.0	0.0	0.0	1.91787	0.00639
GGB4569_SGB6312	3.07596	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.15011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
